time,pwm_r,pwm_l
2.272299957275390625e+02,8.402912139892578125e+01,6.597087860107421875e+01
2.272399902343750000e+02,8.402896881103515625e+01,6.597103118896484375e+01
2.272500000000000000e+02,8.402882385253906250e+01,6.597117614746093750e+01
2.272599945068359375e+02,8.402867126464843750e+01,6.597132873535156250e+01
2.272699890136718750e+02,8.402851867675781250e+01,6.597147369384765625e+01
2.272799987792968750e+02,8.402838134765625000e+01,6.597162628173828125e+01
2.272899932861328125e+02,8.402822875976562500e+01,6.597177124023437500e+01
2.272999877929687500e+02,8.402807617187500000e+01,6.597192382812500000e+01
2.273099975585937500e+02,8.402793121337890625e+01,6.597206878662109375e+01
2.273199920654296875e+02,8.402777862548828125e+01,6.597222137451171875e+01
2.273300018310546875e+02,8.402762603759765625e+01,6.597236633300781250e+01
2.273399963378906250e+02,8.402748107910156250e+01,6.597251892089843750e+01
2.273499908447265625e+02,8.402732849121093750e+01,6.597267150878906250e+01
2.273600006103515625e+02,8.402719116210937500e+01,6.597281646728515625e+01
2.273699951171875000e+02,8.402703857421875000e+01,6.597296142578125000e+01
2.273799896240234375e+02,8.402688598632812500e+01,6.597311401367187500e+01
2.273899993896484375e+02,8.402674102783203125e+01,6.597325897216796875e+01
2.273999938964843750e+02,8.402658843994140625e+01,6.597341156005859375e+01
2.274099884033203125e+02,8.402643585205078125e+01,6.597355651855468750e+01
2.274199981689453125e+02,8.402629852294921875e+01,6.597370147705078125e+01
2.274299926757812500e+02,8.402614593505859375e+01,6.597385406494140625e+01
2.274400024414062500e+02,8.402599334716796875e+01,6.597400665283203125e+01
2.274499969482421875e+02,8.402584838867187500e+01,6.597415161132812500e+01
2.274599914550781250e+02,8.402569580078125000e+01,6.597430419921875000e+01
2.274700012207031250e+02,8.402555084228515625e+01,6.597444915771484375e+01
2.274799957275390625e+02,8.402539825439453125e+01,6.597460174560546875e+01
2.274899902343750000e+02,8.402524566650390625e+01,6.597474670410156250e+01
2.275000000000000000e+02,8.402510833740234375e+01,6.597489929199218750e+01
2.275099945068359375e+02,8.402495574951171875e+01,6.597504425048828125e+01
2.275199890136718750e+02,8.402480316162109375e+01,6.597519683837890625e+01
2.275299987792968750e+02,8.402465820312500000e+01,6.597534179687500000e+01
2.275399932861328125e+02,8.402450561523437500e+01,6.597549438476562500e+01
2.275499877929687500e+02,8.402436065673828125e+01,6.597563934326171875e+01
2.275599975585937500e+02,8.402420806884765625e+01,6.597579193115234375e+01
2.275699920654296875e+02,8.402406311035156250e+01,6.597593688964843750e+01
2.275800018310546875e+02,8.402391815185546875e+01,6.597608947753906250e+01
2.275899963378906250e+02,8.402376556396484375e+01,6.597623443603515625e+01
2.275999908447265625e+02,8.402361297607421875e+01,6.597637939453125000e+01
2.276100006103515625e+02,8.402346801757812500e+01,6.597653198242187500e+01
2.276199951171875000e+02,8.402331542968750000e+01,6.597668457031250000e+01
2.276299896240234375e+02,8.402316284179687500e+01,6.597682952880859375e+01
2.276399993896484375e+02,8.402302551269531250e+01,6.597697448730468750e+01
2.276499938964843750e+02,8.402287292480468750e+01,6.597712707519531250e+01
2.276599884033203125e+02,8.402272796630859375e+01,6.597727966308593750e+01
2.276699981689453125e+02,8.402257537841796875e+01,6.597742462158203125e+01
2.276799926757812500e+02,8.402242279052734375e+01,6.597756958007812500e+01
2.276900024414062500e+02,8.402227783203125000e+01,6.597772216796875000e+01
2.276999969482421875e+02,8.402212524414062500e+01,6.597787475585937500e+01
2.277099914550781250e+02,8.402198791503906250e+01,6.597801971435546875e+01
2.277200012207031250e+02,8.402183532714843750e+01,6.597816467285156250e+01
2.277299957275390625e+02,8.402168273925781250e+01,6.597831726074218750e+01
2.277399902343750000e+02,8.402153778076171875e+01,6.597846221923828125e+01
2.277500000000000000e+02,8.402138519287109375e+01,6.597861480712890625e+01
2.277599945068359375e+02,8.402123260498046875e+01,6.597875976562500000e+01
2.277699890136718750e+02,8.402108764648437500e+01,6.597891235351562500e+01
2.277799987792968750e+02,8.402094268798828125e+01,6.597905731201171875e+01
2.277899932861328125e+02,8.402079772949218750e+01,6.597920989990234375e+01
2.277999877929687500e+02,8.402064514160156250e+01,6.597935485839843750e+01
2.278099975585937500e+02,8.402049255371093750e+01,6.597949981689453125e+01
2.278199920654296875e+02,8.402034759521484375e+01,6.597965240478515625e+01
2.278300018310546875e+02,8.402019500732421875e+01,6.597980499267578125e+01
2.278399963378906250e+02,8.402005767822265625e+01,6.597994995117187500e+01
2.278499908447265625e+02,8.401990509033203125e+01,6.598009490966796875e+01
2.278600006103515625e+02,8.401975250244140625e+01,6.598024749755859375e+01
2.278699951171875000e+02,8.401960754394531250e+01,6.598039245605468750e+01
2.278799896240234375e+02,8.401945495605468750e+01,6.598054504394531250e+01
2.278899993896484375e+02,8.401930236816406250e+01,6.598069000244140625e+01
2.278999938964843750e+02,8.401915740966796875e+01,6.598084259033203125e+01
2.279099884033203125e+02,8.401900482177734375e+01,6.598098754882812500e+01
2.279199981689453125e+02,8.401886749267578125e+01,6.598114013671875000e+01
2.279299926757812500e+02,8.401871490478515625e+01,6.598128509521484375e+01
2.279400024414062500e+02,8.401856994628906250e+01,6.598143768310546875e+01
2.279499969482421875e+02,8.401841735839843750e+01,6.598158264160156250e+01
2.279599914550781250e+02,8.401826477050781250e+01,6.598173522949218750e+01
2.279700012207031250e+02,8.401811981201171875e+01,6.598188018798828125e+01
2.279799957275390625e+02,8.401797485351562500e+01,6.598202514648437500e+01
2.279899902343750000e+02,8.401782226562500000e+01,6.598217773437500000e+01
2.280000000000000000e+02,8.401767730712890625e+01,6.598232269287109375e+01
2.280099945068359375e+02,8.401752471923828125e+01,6.598247528076171875e+01
2.280199890136718750e+02,8.401737976074218750e+01,6.598262023925781250e+01
2.280299987792968750e+02,8.401722717285156250e+01,6.598277282714843750e+01
2.280399932861328125e+02,8.401708984375000000e+01,6.598291778564453125e+01
2.280499877929687500e+02,8.401693725585937500e+01,6.598306274414062500e+01
2.280599975585937500e+02,8.401678466796875000e+01,6.598321533203125000e+01
2.280699920654296875e+02,8.401663970947265625e+01,6.598336791992187500e+01
2.280800018310546875e+02,8.401648712158203125e+01,6.598351287841796875e+01
2.280899963378906250e+02,8.401633453369140625e+01,6.598365783691406250e+01
2.280999908447265625e+02,8.401618957519531250e+01,6.598381042480468750e+01
2.281100006103515625e+02,8.401603698730468750e+01,6.598396301269531250e+01
2.281199951171875000e+02,8.401589965820312500e+01,6.598410797119140625e+01
2.281299896240234375e+02,8.401574707031250000e+01,6.598425292968750000e+01
2.281399993896484375e+02,8.401560211181640625e+01,6.598440551757812500e+01
2.281499938964843750e+02,8.401544952392578125e+01,6.598455047607421875e+01
2.281599884033203125e+02,8.401529693603515625e+01,6.598470306396484375e+01
2.281699981689453125e+02,8.401515197753906250e+01,6.598484802246093750e+01
2.281799926757812500e+02,8.401499938964843750e+01,6.598500061035156250e+01
2.281900024414062500e+02,8.401485443115234375e+01,6.598514556884765625e+01
2.281999969482421875e+02,8.401470947265625000e+01,6.598529052734375000e+01
2.282099914550781250e+02,8.401455688476562500e+01,6.598544311523437500e+01
2.282200012207031250e+02,8.401441192626953125e+01,6.598558807373046875e+01
2.282299957275390625e+02,8.401425933837890625e+01,6.598574066162109375e+01
2.282399902343750000e+02,8.401411437988281250e+01,6.598588562011718750e+01
2.282500000000000000e+02,8.401396942138671875e+01,6.598603057861328125e+01
2.282599945068359375e+02,8.401381683349609375e+01,6.598618316650390625e+01
2.282699890136718750e+02,8.401367187500000000e+01,6.598632812500000000e+01
2.282799987792968750e+02,8.401351928710937500e+01,6.598648071289062500e+01
2.282899932861328125e+02,8.401337432861328125e+01,6.598662567138671875e+01
2.282999877929687500e+02,8.401322174072265625e+01,6.598677825927734375e+01
2.283099975585937500e+02,8.401306915283203125e+01,6.598692321777343750e+01
2.283199920654296875e+02,8.401293182373046875e+01,6.598706817626953125e+01
2.283300018310546875e+02,8.401277923583984375e+01,6.598722076416015625e+01
2.283399963378906250e+02,8.401263427734375000e+01,6.598737335205078125e+01
2.283499908447265625e+02,8.401248168945312500e+01,6.598751831054687500e+01
2.283600006103515625e+02,8.401232910156250000e+01,6.598766326904296875e+01
2.283699951171875000e+02,8.401218414306640625e+01,6.598781585693359375e+01
2.283799896240234375e+02,8.401203155517578125e+01,6.598796081542968750e+01
2.283899993896484375e+02,8.401189422607421875e+01,6.598810577392578125e+01
2.283999938964843750e+02,8.401174163818359375e+01,6.598825836181640625e+01
2.284099884033203125e+02,8.401159667968750000e+01,6.598841094970703125e+01
2.284199981689453125e+02,8.401144409179687500e+01,6.598855590820312500e+01
2.284299926757812500e+02,8.401129150390625000e+01,6.598870086669921875e+01
2.284400024414062500e+02,8.401114654541015625e+01,6.598885345458984375e+01
2.284499969482421875e+02,8.401099395751953125e+01,6.598899841308593750e+01
2.284599914550781250e+02,8.401085662841796875e+01,6.598915100097656250e+01
2.284700012207031250e+02,8.401070404052734375e+01,6.598929595947265625e+01
2.284799957275390625e+02,8.401055908203125000e+01,6.598944854736328125e+01
2.284899902343750000e+02,8.401040649414062500e+01,6.598959350585937500e+01
2.285000000000000000e+02,8.401025390625000000e+01,6.598973846435546875e+01
